InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C538971,22153,ANGEL DECORATION STARS ON DRESS,-48,2010-12-15 11:39:00,0.42,12865,Austria
539330,37449,CERAMIC CAKE STAND + HANGING CAKES,8,2010-12-17 09:38:00,8.5,12370,Austria
539330,37446,MINI CAKE STAND WITH HANGING CAKES,8,2010-12-17 09:38:00,1.45,12370,Austria
539330,22962,JAM JAR WITH PINK LID,12,2010-12-17 09:38:00,0.85,12370,Austria
539330,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,2010-12-17 09:38:00,4.25,12370,Austria
539330,22113,GREY HEART HOT WATER BOTTLE,4,2010-12-17 09:38:00,3.75,12370,Austria
539330,22313,OFFICE MUG WARMER PINK,6,2010-12-17 09:38:00,2.95,12370,Austria
539330,22312,OFFICE MUG WARMER POLKADOT,6,2010-12-17 09:38:00,2.95,12370,Austria
539330,POST,POSTAGE,3,2010-12-17 09:38:00,40,12370,Austria
542887,20713,JUMBO BAG OWLS,10,2011-02-01 13:10:00,1.95,12373,Austria
542887,21931,JUMBO STORAGE BAG SUKI,20,2011-02-01 13:10:00,1.95,12373,Austria
542887,22553,PLASTERS IN TIN SKULLS,12,2011-02-01 13:10:00,1.65,12373,Austria
542887,20724,RED RETROSPOT CHARLOTTE BAG,30,2011-02-01 13:10:00,0.85,12373,Austria
542887,20719,WOODLAND CHARLOTTE BAG,20,2011-02-01 13:10:00,0.85,12373,Austria
542887,20726,LUNCH BAG WOODLAND,20,2011-02-01 13:10:00,1.65,12373,Austria
542887,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2011-02-01 13:10:00,2.95,12373,Austria
542887,20712,JUMBO BAG WOODLAND ANIMALS,20,2011-02-01 13:10:00,1.95,12373,Austria
542887,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12,2011-02-01 13:10:00,2.95,12373,Austria
542887,21481,FAWN BLUE HOT WATER BOTTLE,6,2011-02-01 13:10:00,2.95,12373,Austria
542887,85099B,JUMBO BAG RED RETROSPOT,10,2011-02-01 13:10:00,1.95,12373,Austria
542887,22356,CHARLOTTE BAG PINK POLKADOT,10,2011-02-01 13:10:00,0.85,12373,Austria
542887,20728,LUNCH BAG CARS BLUE,20,2011-02-01 13:10:00,1.65,12373,Austria
542887,POST,POSTAGE,1,2011-02-01 13:10:00,40,12373,Austria
543027,17003,BROCADE RING PURSE ,36,2011-02-02 14:51:00,0.21,12414,Austria
543027,22556,PLASTERS IN TIN CIRCUS PARADE ,12,2011-02-02 14:51:00,1.65,12414,Austria
