InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
539500,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,54,2010-12-20 11:02:00,3.81,,Bahrain
C540155,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,-54,2011-01-05 11:31:00,3.81,,Bahrain
552449,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,2011-05-09 13:49:00,1.25,12355,Bahrain
552449,23076,ICE CREAM SUNDAE LIP GLOSS,96,2011-05-09 13:49:00,1.25,12355,Bahrain
552449,23077,DOUGHNUT LIP GLOSS ,60,2011-05-09 13:49:00,1.25,12355,Bahrain
552449,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,2,2011-05-09 13:49:00,9.95,12355,Bahrain
552449,22649,STRAWBERRY FAIRY CAKE TEAPOT,8,2011-05-09 13:49:00,4.95,12355,Bahrain
552449,22423,REGENCY CAKESTAND 3 TIER,2,2011-05-09 13:49:00,12.75,12355,Bahrain
552449,85040A,S/4 PINK FLOWER CANDLES IN BOWL,12,2011-05-09 13:49:00,1.65,12355,Bahrain
552449,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-05-09 13:49:00,2.95,12355,Bahrain
552449,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-05-09 13:49:00,2.95,12355,Bahrain
552449,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-05-09 13:49:00,2.95,12355,Bahrain
552449,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,6,2011-05-09 13:49:00,4.25,12355,Bahrain
552449,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,6,2011-05-09 13:49:00,4.25,12355,Bahrain
552449,72802C,VANILLA SCENT CANDLE JEWELLED BOX,6,2011-05-09 13:49:00,4.25,12355,Bahrain
553900,37449,CERAMIC CAKE STAND + HANGING CAKES,2,2011-05-19 17:47:00,9.95,12353,Bahrain
553900,37446,MINI CAKE STAND WITH HANGING CAKES,8,2011-05-19 17:47:00,1.45,12353,Bahrain
553900,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,4,2011-05-19 17:47:00,9.95,12353,Bahrain
553900,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,2011-05-19 17:47:00,2.95,12353,Bahrain
