InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
545072,22930,BAKING MOULD HEART MILK CHOCOLATE,18,2011-02-28 08:43:00,2.55,12781,Czech Republic
545072,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,48,2011-02-28 08:43:00,0.65,12781,Czech Republic
545072,22216,T-LIGHT HOLDER WHITE LACE,24,2011-02-28 08:43:00,0.85,12781,Czech Republic
545072,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2011-02-28 08:43:00,1.25,12781,Czech Republic
545072,22231,JIGSAW TREE WITH BIRDHOUSE,36,2011-02-28 08:43:00,1.45,12781,Czech Republic
545072,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,32,2011-02-28 08:43:00,0.85,12781,Czech Republic
545072,84459A,PINK METAL CHICKEN HEART ,24,2011-02-28 08:43:00,1.49,12781,Czech Republic
545072,20972,PINK CREAM FELT CRAFT TRINKET BOX ,24,2011-02-28 08:43:00,1.25,12781,Czech Republic
545072,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,2011-02-28 08:43:00,2.95,12781,Czech Republic
545072,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,12,2011-02-28 08:43:00,4.25,12781,Czech Republic
545072,22587,FELTCRAFT HAIRBAND RED AND BLUE,24,2011-02-28 08:43:00,0.85,12781,Czech Republic
545072,47594B,SCOTTIES DESIGN WASHBAG,24,2011-02-28 08:43:00,1.95,12781,Czech Republic
545072,85206A,CREAM FELT EASTER EGG BASKET,24,2011-02-28 08:43:00,1.65,12781,Czech Republic
545072,22244,3 HOOK HANGER MAGIC GARDEN,12,2011-02-28 08:43:00,1.95,12781,Czech Republic
545072,22505,MEMO BOARD COTTAGE DESIGN,8,2011-02-28 08:43:00,4.95,12781,Czech Republic
C548667,22231,JIGSAW TREE WITH BIRDHOUSE,-15,2011-04-01 15:00:00,1.45,12781,Czech Republic
C548667,84459A,PINK METAL CHICKEN HEART ,-24,2011-04-01 15:00:00,1.49,12781,Czech Republic
570026,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,24,2011-10-07 10:37:00,0.42,12781,Czech Republic
570026,23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,48,2011-10-07 10:37:00,0.83,12781,Czech Republic
570026,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,72,2011-10-07 10:37:00,0.29,12781,Czech Republic
570026,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,72,2011-10-07 10:37:00,0.29,12781,Czech Republic
570026,21253,SET OF PICTURE FRAME  STICKERS,12,2011-10-07 10:37:00,2.95,12781,Czech Republic
570026,21373,MIRRORED WALL ART SNOWFLAKES,24,2011-10-07 10:37:00,0.75,12781,Czech Republic
570026,20974,12 PENCILS SMALL TUBE SKULL,24,2011-10-07 10:37:00,0.65,12781,Czech Republic
570026,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2011-10-07 10:37:00,0.65,12781,Czech Republic
570026,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,24,2011-10-07 10:37:00,2.55,12781,Czech Republic
570026,POST,POSTAGE,1,2011-10-07 10:37:00,40,12781,Czech Republic
C577151,84459A,PINK METAL CHICKEN HEART ,-24,2011-11-18 09:50:00,1.49,12781,Czech Republic
C577151,22231,JIGSAW TREE WITH BIRDHOUSE,-15,2011-11-18 09:50:00,1.45,12781,Czech Republic
C577353,POST,POSTAGE,-1,2011-11-18 15:45:00,4,12781,Czech Republic
