InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
551013,22839,3 TIER CAKE TIN GREEN AND CREAM,1,2011-04-26 10:54:00,14.95,15108,European Community
551013,22840,ROUND CAKE TIN VINTAGE RED,2,2011-04-26 10:54:00,7.95,15108,European Community
551013,22841,ROUND CAKE TIN VINTAGE GREEN,2,2011-04-26 10:54:00,7.95,15108,European Community
551013,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-04-26 10:54:00,2.95,15108,European Community
551013,22314,OFFICE MUG WARMER CHOC+BLUE,6,2011-04-26 10:54:00,2.95,15108,European Community
551013,22312,OFFICE MUG WARMER POLKADOT,6,2011-04-26 10:54:00,2.95,15108,European Community
551013,22842,BISCUIT TIN VINTAGE RED,2,2011-04-26 10:54:00,6.75,15108,European Community
551013,22843,BISCUIT TIN VINTAGE GREEN,2,2011-04-26 10:54:00,6.75,15108,European Community
551013,22424,ENAMEL BREAD BIN CREAM,1,2011-04-26 10:54:00,12.75,15108,European Community
551013,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-04-26 10:54:00,3.95,15108,European Community
551013,POST,POSTAGE,2,2011-04-26 10:54:00,18,15108,European Community
555542,21675,BUTTERFLIES STICKERS,12,2011-06-05 12:51:00,0.85,15108,European Community
555542,21676,FLOWERS  STICKERS,12,2011-06-05 12:51:00,0.85,15108,European Community
555542,21677,HEARTS  STICKERS,12,2011-06-05 12:51:00,0.85,15108,European Community
555542,22314,OFFICE MUG WARMER CHOC+BLUE,12,2011-06-05 12:51:00,2.95,15108,European Community
555542,22312,OFFICE MUG WARMER POLKADOT,6,2011-06-05 12:51:00,2.95,15108,European Community
555542,22838,3 TIER CAKE TIN RED AND CREAM,2,2011-06-05 12:51:00,14.95,15108,European Community
555542,22840,ROUND CAKE TIN VINTAGE RED,2,2011-06-05 12:51:00,7.95,15108,European Community
555542,22841,ROUND CAKE TIN VINTAGE GREEN,2,2011-06-05 12:51:00,7.95,15108,European Community
555542,22721,SET OF 3 CAKE TINS SKETCHBOOK,3,2011-06-05 12:51:00,4.95,15108,European Community
555542,22193,RED DINER WALL CLOCK,2,2011-06-05 12:51:00,8.5,15108,European Community
555542,22961,JAM MAKING SET PRINTED,12,2011-06-05 12:51:00,1.45,15108,European Community
555542,22452,MEASURING TAPE BABUSHKA PINK,6,2011-06-05 12:51:00,2.95,15108,European Community
555542,22453,MEASURING TAPE BABUSHKA BLUE,6,2011-06-05 12:51:00,2.95,15108,European Community
555542,23111,PARISIENNE SEWING BOX,2,2011-06-05 12:51:00,12.5,15108,European Community
555542,22311,OFFICE MUG WARMER BLACK+SILVER ,6,2011-06-05 12:51:00,2.95,15108,European Community
