InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541932,22699,ROSES REGENCY TEACUP AND SAUCER ,24,2011-01-24 11:39:00,2.55,14439,Greece
541932,22697,GREEN REGENCY TEACUP AND SAUCER,24,2011-01-24 11:39:00,2.55,14439,Greece
541932,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,24,2011-01-24 11:39:00,2.95,14439,Greece
541932,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,24,2011-01-24 11:39:00,4.25,14439,Greece
541932,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16,2011-01-24 11:39:00,8.49,14439,Greece
541932,22763,KEY CABINET MA CAMPAGNE,12,2011-01-24 11:39:00,8.5,14439,Greece
541932,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,8,2011-01-24 11:39:00,12.75,14439,Greece
541932,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,16,2011-01-24 11:39:00,2.95,14439,Greece
541932,22760,"TRAY, BREAKFAST IN BED",6,2011-01-24 11:39:00,10.95,14439,Greece
541932,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,2011-01-24 11:39:00,7.95,14439,Greece
541932,22502,PICNIC BASKET WICKER SMALL,16,2011-01-24 11:39:00,4.95,14439,Greece
541932,22469,HEART OF WICKER SMALL,12,2011-01-24 11:39:00,1.65,14439,Greece
541932,22840,ROUND CAKE TIN VINTAGE RED,12,2011-01-24 11:39:00,6.95,14439,Greece
541932,22847,BREAD BIN DINER STYLE IVORY,8,2011-01-24 11:39:00,14.95,14439,Greece
541932,22424,ENAMEL BREAD BIN CREAM,8,2011-01-24 11:39:00,10.95,14439,Greece
541932,22842,BISCUIT TIN VINTAGE RED,12,2011-01-24 11:39:00,5.95,14439,Greece
541932,22841,ROUND CAKE TIN VINTAGE GREEN,12,2011-01-24 11:39:00,6.95,14439,Greece
541932,48188,DOORMAT WELCOME PUPPIES,20,2011-01-24 11:39:00,6.75,14439,Greece
541932,22692,DOORMAT WELCOME TO OUR HOME,20,2011-01-24 11:39:00,6.75,14439,Greece
541932,48184,DOORMAT ENGLISH ROSE ,20,2011-01-24 11:39:00,6.75,14439,Greece
541932,48187,DOORMAT NEW ENGLAND,20,2011-01-24 11:39:00,6.75,14439,Greece
541932,48129,DOORMAT TOPIARY,20,2011-01-24 11:39:00,6.75,14439,Greece
541932,48111,DOORMAT 3 SMILEY CATS,10,2011-01-24 11:39:00,6.75,14439,Greece
541932,48194,DOORMAT HEARTS,10,2011-01-24 11:39:00,6.75,14439,Greece
541932,22366,DOORMAT AIRMAIL ,10,2011-01-24 11:39:00,6.75,14439,Greece
541932,21524,DOORMAT SPOTTY HOME SWEET HOME,10,2011-01-24 11:39:00,6.75,14439,Greece
541932,21616,4 PEAR BOTANICAL DINNER CANDLES,48,2011-01-24 11:39:00,1.25,14439,Greece
541932,21615,4 LAVENDER BOTANICAL DINNER CANDLES,48,2011-01-24 11:39:00,1.25,14439,Greece
541932,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2011-01-24 11:39:00,8.5,14439,Greece
541932,22845,VINTAGE CREAM CAT FOOD CONTAINER,2,2011-01-24 11:39:00,6.35,14439,Greece
541932,22604,SET OF 4 NAPKIN CHARMS CUTLERY,32,2011-01-24 11:39:00,2.1,14439,Greece
541932,22423,REGENCY CAKESTAND 3 TIER,16,2011-01-24 11:39:00,10.95,14439,Greece
545579,85187,S/12 MINI RABBIT EASTER,6,2011-03-04 08:10:00,1.65,17508,Greece
545579,22270,HAPPY EASTER HANGING DECORATION,4,2011-03-04 08:10:00,3.75,17508,Greece
545579,85211,S/4 GROOVY CAT MAGNETS,12,2011-03-04 08:10:00,1.65,17508,Greece
545579,22908,PACK OF 20 NAPKINS RED APPLES,12,2011-03-04 08:10:00,0.85,17508,Greece
545579,21936,RED RETROSPOT PICNIC BAG,5,2011-03-04 08:10:00,2.95,17508,Greece
545579,21932,SCANDINAVIAN PAISLEY PICNIC BAG,5,2011-03-04 08:10:00,2.95,17508,Greece
545579,20717,STRAWBERRY SHOPPER BAG,10,2011-03-04 08:10:00,1.25,17508,Greece
545579,21937,STRAWBERRY   PICNIC BAG,15,2011-03-04 08:10:00,2.95,17508,Greece
545579,21078,SET/20 STRAWBERRY PAPER NAPKINS ,24,2011-03-04 08:10:00,0.85,17508,Greece
545579,20723,STRAWBERRY CHARLOTTE BAG,10,2011-03-04 08:10:00,0.85,17508,Greece
545579,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011-03-04 08:10:00,1.95,17508,Greece
545579,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2011-03-04 08:10:00,1.95,17508,Greece
545579,85099F,JUMBO BAG STRAWBERRY,10,2011-03-04 08:10:00,1.95,17508,Greece
545579,35915B,BLUE KNITTED HEN ,6,2011-03-04 08:10:00,1.65,17508,Greece
545579,35915C,PEACH KNITTED HEN ,6,2011-03-04 08:10:00,1.65,17508,Greece
545579,22293,HANGING CHICK GREEN DECORATION,24,2011-03-04 08:10:00,1.45,17508,Greece
545579,35912B,WHITE/PINK CHICK DECORATION,12,2011-03-04 08:10:00,1.25,17508,Greece
545579,22268,EASTER DECORATION SITTING BUNNY,12,2011-03-04 08:10:00,0.85,17508,Greece
545579,22289,HANGING METAL CHICKEN DECORATION,24,2011-03-04 08:10:00,1.25,17508,Greece
545579,22288,HANGING METAL RABBIT DECORATION,24,2011-03-04 08:10:00,1.25,17508,Greece
545579,22266,EASTER DECORATION HANGING BUNNY,24,2011-03-04 08:10:00,0.65,17508,Greece
545579,15034,PAPER POCKET TRAVELING FAN ,24,2011-03-04 08:10:00,0.14,17508,Greece
549325,23156,SET OF 5 MINI GROCERY MAGNETS,12,2011-04-08 10:32:00,2.08,12717,Greece
549325,23154,SET OF 4 JAM JAR MAGNETS,12,2011-04-08 10:32:00,2.08,12717,Greece
549325,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,12,2011-04-08 10:32:00,0.83,12717,Greece
549325,23159,SET OF 5 PANCAKE DAY MAGNETS,12,2011-04-08 10:32:00,2.08,12717,Greece
549325,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-04-08 10:32:00,1.45,12717,Greece
549325,22803,IVORY EMBROIDERED QUILT ,1,2011-04-08 10:32:00,39.95,12717,Greece
549325,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2011-04-08 10:32:00,1.25,12717,Greece
549325,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,2011-04-08 10:32:00,1.25,12717,Greece
549325,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-04-08 10:32:00,1.25,12717,Greece
549325,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,2011-04-08 10:32:00,8.5,12717,Greece
549325,22766,PHOTO FRAME CORNICE,8,2011-04-08 10:32:00,2.95,12717,Greece
549325,22317,FIVE CATS HANGING DECORATION,6,2011-04-08 10:32:00,2.95,12717,Greece
549325,21391,FRENCH LAVENDER SCENT HEART,6,2011-04-08 10:32:00,2.1,12717,Greece
549325,21114,LAVENDER SCENTED FABRIC HEART,10,2011-04-08 10:32:00,1.25,12717,Greece
549325,22730,ALARM CLOCK BAKELIKE IVORY,4,2011-04-08 10:32:00,3.75,12717,Greece
549325,22727,ALARM CLOCK BAKELIKE RED ,4,2011-04-08 10:32:00,3.75,12717,Greece
549325,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,2011-04-08 10:32:00,0.85,12717,Greece
549325,22922,FRIDGE MAGNETS US DINER ASSORTED,12,2011-04-08 10:32:00,0.85,12717,Greece
549325,21107,CREAM SLICE FLANNEL PINK SPOT ,6,2011-04-08 10:32:00,2.95,12717,Greece
549325,84836,ZINC METAL HEART DECORATION,12,2011-04-08 10:32:00,1.25,12717,Greece
549325,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-04-08 10:32:00,1.25,12717,Greece
549325,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-04-08 10:32:00,1.25,12717,Greece
549325,22831,WHITE BROCANTE SOAP DISH,6,2011-04-08 10:32:00,2.95,12717,Greece
549325,21110,LARGE CAKE TOWEL PINK SPOTS,2,2011-04-08 10:32:00,6.75,12717,Greece
549325,22410,MONEY BOX HOUSEKEEPING DESIGN,12,2011-04-08 10:32:00,1.25,12717,Greece
549325,22409,MONEY BOX BISCUITS DESIGN,12,2011-04-08 10:32:00,1.25,12717,Greece
549325,85053,FRENCH ENAMEL CANDLEHOLDER,6,2011-04-08 10:32:00,2.1,12717,Greece
549325,22427,ENAMEL FLOWER JUG CREAM,3,2011-04-08 10:32:00,5.95,12717,Greece
549325,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2011-04-08 10:32:00,1.45,12717,Greece
549325,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,2011-04-08 10:32:00,4.25,12717,Greece
549325,POST,POSTAGE,2,2011-04-08 10:32:00,50,12717,Greece
559680,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,2011-07-11 14:47:00,0.42,12717,Greece
559680,22961,JAM MAKING SET PRINTED,12,2011-07-11 14:47:00,1.45,12717,Greece
559680,22922,FRIDGE MAGNETS US DINER ASSORTED,12,2011-07-11 14:47:00,0.85,12717,Greece
559680,23154,SET OF 4 JAM JAR MAGNETS,12,2011-07-11 14:47:00,2.08,12717,Greece
559680,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,2011-07-11 14:47:00,0.85,12717,Greece
559680,23159,SET OF 5 PANCAKE DAY MAGNETS,12,2011-07-11 14:47:00,2.08,12717,Greece
559680,85215,ASSORTED CHEESE FRIDGE MAGNETS,12,2011-07-11 14:47:00,0.65,12717,Greece
559680,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,12,2011-07-11 14:47:00,0.83,12717,Greece
559680,23160,REGENCY TEA SPOON,12,2011-07-11 14:47:00,1.25,12717,Greece
559680,23161,REGENCY CAKE FORK,12,2011-07-11 14:47:00,1.25,12717,Greece
559680,23164,REGENCY CAKE SLICE,4,2011-07-11 14:47:00,4.95,12717,Greece
559680,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4,2011-07-11 14:47:00,4.95,12717,Greece
559680,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,6,2011-07-11 14:47:00,2.1,12717,Greece
559680,23110,PARISIENNE KEY CABINET ,2,2011-07-11 14:47:00,5.75,12717,Greece
559680,22928,YELLOW GIANT GARDEN THERMOMETER,2,2011-07-11 14:47:00,5.95,12717,Greece
559680,23061,VINTAGE EMBOSSED HEART,12,2011-07-11 14:47:00,1.25,12717,Greece
559680,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,2011-07-11 14:47:00,0.83,12717,Greece
559680,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,2011-07-11 14:47:00,0.85,12717,Greece
559680,84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24,2011-07-11 14:47:00,0.19,12717,Greece
559680,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,2011-07-11 14:47:00,1.95,12717,Greece
559680,23029,DRAWER KNOB CRACKLE GLAZE GREEN,6,2011-07-11 14:47:00,1.65,12717,Greece
559680,23028,DRAWER KNOB CRACKLE GLAZE BLUE,6,2011-07-11 14:47:00,1.65,12717,Greece
559680,23263,SET OF 3 WOODEN HEART DECORATIONS,24,2011-07-11 14:47:00,1.25,12717,Greece
559680,POST,POSTAGE,2,2011-07-11 14:47:00,50,12717,Greece
C559681,POST,POSTAGE,-1,2011-07-11 14:51:00,50,12717,Greece
580752,POST,POSTAGE,3,2011-12-06 09:56:00,45,12478,Greece
580752,20685,DOORMAT RED RETROSPOT,2,2011-12-06 09:56:00,8.25,12478,Greece
580752,22941,CHRISTMAS LIGHTS 10 REINDEER,4,2011-12-06 09:56:00,8.5,12478,Greece
580752,22816,CARD MOTORBIKE SANTA,12,2011-12-06 09:56:00,0.42,12478,Greece
580752,22966,GINGERBREAD MAN COOKIE CUTTER,12,2011-12-06 09:56:00,1.25,12478,Greece
580752,20725,LUNCH BAG RED RETROSPOT,10,2011-12-06 09:56:00,1.65,12478,Greece
580752,20727,LUNCH BAG  BLACK SKULL.,10,2011-12-06 09:56:00,1.65,12478,Greece
