InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537626,85116,BLACK CANDELABRA T-LIGHT HOLDER,12,2010-12-07 14:57:00,2.1,12347,Iceland
537626,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,2010-12-07 14:57:00,4.25,12347,Iceland
537626,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,12,2010-12-07 14:57:00,3.25,12347,Iceland
537626,22492,MINI PAINT SET VINTAGE ,36,2010-12-07 14:57:00,0.65,12347,Iceland
537626,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-07 14:57:00,1.25,12347,Iceland
537626,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-07 14:57:00,1.25,12347,Iceland
537626,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-07 14:57:00,1.25,12347,Iceland
537626,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-07 14:57:00,1.25,12347,Iceland
537626,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,2010-12-07 14:57:00,1.25,12347,Iceland
537626,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-07 14:57:00,1.25,12347,Iceland
537626,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,2010-12-07 14:57:00,3.75,12347,Iceland
537626,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-12-07 14:57:00,3.75,12347,Iceland
537626,22727,ALARM CLOCK BAKELIKE RED ,4,2010-12-07 14:57:00,3.75,12347,Iceland
537626,22728,ALARM CLOCK BAKELIKE PINK,4,2010-12-07 14:57:00,3.75,12347,Iceland
537626,22729,ALARM CLOCK BAKELIKE ORANGE,4,2010-12-07 14:57:00,3.75,12347,Iceland
537626,22212,FOUR HOOK  WHITE LOVEBIRDS,6,2010-12-07 14:57:00,2.1,12347,Iceland
537626,85167B,BLACK GRAND BAROQUE PHOTO FRAME,30,2010-12-07 14:57:00,1.25,12347,Iceland
537626,21171,BATHROOM METAL SIGN ,12,2010-12-07 14:57:00,1.45,12347,Iceland
537626,22195,LARGE HEART MEASURING SPOONS,12,2010-12-07 14:57:00,1.65,12347,Iceland
537626,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-07 14:57:00,4.25,12347,Iceland
537626,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,2010-12-07 14:57:00,3.75,12347,Iceland
537626,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,6,2010-12-07 14:57:00,3.75,12347,Iceland
537626,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,6,2010-12-07 14:57:00,3.75,12347,Iceland
537626,22494,EMERGENCY FIRST AID TIN ,12,2010-12-07 14:57:00,1.25,12347,Iceland
537626,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,2010-12-07 14:57:00,4.25,12347,Iceland
537626,85232D,SET/3 DECOUPAGE STACKING TINS,3,2010-12-07 14:57:00,4.95,12347,Iceland
537626,21064,BOOM BOX SPEAKER BOYS,6,2010-12-07 14:57:00,5.95,12347,Iceland
537626,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2010-12-07 14:57:00,1.65,12347,Iceland
537626,84558A,3D DOG PICTURE PLAYING CARDS,24,2010-12-07 14:57:00,2.95,12347,Iceland
537626,20780,BLACK EAR MUFF HEADPHONES,12,2010-12-07 14:57:00,4.65,12347,Iceland
537626,20782,CAMOUFLAGE EAR MUFF HEADPHONES,6,2010-12-07 14:57:00,5.49,12347,Iceland
542237,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,24,2011-01-26 14:30:00,0.85,12347,Iceland
542237,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,24,2011-01-26 14:30:00,0.85,12347,Iceland
542237,85116,BLACK CANDELABRA T-LIGHT HOLDER,6,2011-01-26 14:30:00,2.1,12347,Iceland
542237,20719,WOODLAND CHARLOTTE BAG,10,2011-01-26 14:30:00,0.85,12347,Iceland
542237,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,2011-01-26 14:30:00,4.25,12347,Iceland
542237,22376,AIRLINE BAG VINTAGE JET SET WHITE,4,2011-01-26 14:30:00,4.25,12347,Iceland
542237,20966,SANDWICH BATH SPONGE,10,2011-01-26 14:30:00,1.25,12347,Iceland
542237,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,2011-01-26 14:30:00,3.75,12347,Iceland
542237,22726,ALARM CLOCK BAKELIKE GREEN,4,2011-01-26 14:30:00,3.75,12347,Iceland
542237,22727,ALARM CLOCK BAKELIKE RED ,4,2011-01-26 14:30:00,3.75,12347,Iceland
542237,22728,ALARM CLOCK BAKELIKE PINK,4,2011-01-26 14:30:00,3.75,12347,Iceland
542237,22729,ALARM CLOCK BAKELIKE ORANGE,4,2011-01-26 14:30:00,3.75,12347,Iceland
542237,22196,SMALL HEART MEASURING SPOONS,12,2011-01-26 14:30:00,0.85,12347,Iceland
542237,84992,72 SWEETHEART FAIRY CAKE CASES,24,2011-01-26 14:30:00,0.55,12347,Iceland
542237,84991,60 TEATIME FAIRY CAKE CASES,24,2011-01-26 14:30:00,0.55,12347,Iceland
542237,21976,PACK OF 60 MUSHROOM CAKE CASES,24,2011-01-26 14:30:00,0.55,12347,Iceland
542237,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2011-01-26 14:30:00,0.55,12347,Iceland
542237,47559B,TEA TIME OVEN GLOVE,10,2011-01-26 14:30:00,1.25,12347,Iceland
542237,21154,RED RETROSPOT OVEN GLOVE ,10,2011-01-26 14:30:00,1.25,12347,Iceland
542237,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,2011-01-26 14:30:00,2.95,12347,Iceland
542237,21035,SET/2 RED RETROSPOT TEA TOWELS ,6,2011-01-26 14:30:00,2.95,12347,Iceland
542237,22423,REGENCY CAKESTAND 3 TIER,3,2011-01-26 14:30:00,12.75,12347,Iceland
542237,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2011-01-26 14:30:00,4.25,12347,Iceland
542237,22134,MINI LADLE LOVE HEART RED ,12,2011-01-26 14:30:00,0.42,12347,Iceland
542237,21832,CHOCOLATE CALCULATOR,12,2011-01-26 14:30:00,1.65,12347,Iceland
542237,22422,TOOTHPASTE TUBE PEN,12,2011-01-26 14:30:00,0.65,12347,Iceland
542237,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,2011-01-26 14:30:00,4.25,12347,Iceland
542237,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2011-01-26 14:30:00,1.65,12347,Iceland
542237,84558A,3D DOG PICTURE PLAYING CARDS,12,2011-01-26 14:30:00,2.95,12347,Iceland
549222,22376,AIRLINE BAG VINTAGE JET SET WHITE,4,2011-04-07 10:43:00,4.25,12347,Iceland
549222,22374,AIRLINE BAG VINTAGE JET SET RED,4,2011-04-07 10:43:00,4.25,12347,Iceland
549222,22371,AIRLINE BAG VINTAGE TOKYO 78,4,2011-04-07 10:43:00,4.25,12347,Iceland
549222,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,2011-04-07 10:43:00,4.25,12347,Iceland
549222,20665,RED RETROSPOT PURSE ,6,2011-04-07 10:43:00,2.95,12347,Iceland
549222,23076,ICE CREAM SUNDAE LIP GLOSS,240,2011-04-07 10:43:00,1.04,12347,Iceland
549222,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2011-04-07 10:43:00,1.25,12347,Iceland
549222,22550,HOLIDAY FUN LUDO,8,2011-04-07 10:43:00,3.75,12347,Iceland
549222,23177,TREASURE ISLAND BOOK BOX,8,2011-04-07 10:43:00,2.25,12347,Iceland
549222,22432,WATERING CAN PINK BUNNY,6,2011-04-07 10:43:00,1.95,12347,Iceland
549222,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-04-07 10:43:00,1.25,12347,Iceland
549222,22195,LARGE HEART MEASURING SPOONS,12,2011-04-07 10:43:00,1.65,12347,Iceland
549222,22196,SMALL HEART MEASURING SPOONS,12,2011-04-07 10:43:00,0.85,12347,Iceland
549222,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-04-07 10:43:00,0.55,12347,Iceland
549222,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,2011-04-07 10:43:00,2.95,12347,Iceland
549222,22423,REGENCY CAKESTAND 3 TIER,3,2011-04-07 10:43:00,12.75,12347,Iceland
549222,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-04-07 10:43:00,2.95,12347,Iceland
549222,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2011-04-07 10:43:00,1.65,12347,Iceland
549222,22492,MINI PAINT SET VINTAGE ,36,2011-04-07 10:43:00,0.65,12347,Iceland
549222,84559A,3D SHEET OF DOG STICKERS,12,2011-04-07 10:43:00,0.85,12347,Iceland
549222,84559B,3D SHEET OF CAT STICKERS,12,2011-04-07 10:43:00,0.85,12347,Iceland
549222,16008,SMALL FOLDING SCISSOR(POINTED EDGE),24,2011-04-07 10:43:00,0.25,12347,Iceland
549222,22821,GIFT BAG PSYCHEDELIC APPLES,12,2011-04-07 10:43:00,0.65,12347,Iceland
549222,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,2011-04-07 10:43:00,4.25,12347,Iceland
556201,23084,RABBIT NIGHT LIGHT,12,2011-06-09 13:01:00,2.08,12347,Iceland
556201,23162,REGENCY TEA STRAINER,8,2011-06-09 13:01:00,3.75,12347,Iceland
556201,23171,REGENCY TEA PLATE GREEN ,12,2011-06-09 13:01:00,1.65,12347,Iceland
556201,23172,REGENCY TEA PLATE PINK,12,2011-06-09 13:01:00,1.65,12347,Iceland
556201,23170,REGENCY TEA PLATE ROSES ,12,2011-06-09 13:01:00,1.65,12347,Iceland
556201,23173,REGENCY TEAPOT ROSES ,2,2011-06-09 13:01:00,9.95,12347,Iceland
556201,23174,REGENCY SUGAR BOWL GREEN,4,2011-06-09 13:01:00,4.15,12347,Iceland
556201,23175,REGENCY MILK JUG PINK ,4,2011-06-09 13:01:00,3.25,12347,Iceland
556201,22371,AIRLINE BAG VINTAGE TOKYO 78,8,2011-06-09 13:01:00,4.25,12347,Iceland
556201,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,2011-06-09 13:01:00,4.25,12347,Iceland
556201,85178,VICTORIAN SEWING KIT,12,2011-06-09 13:01:00,1.25,12347,Iceland
556201,17021,NAMASTE SWAGAT INCENSE,36,2011-06-09 13:01:00,0.3,12347,Iceland
556201,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,4,2011-06-09 13:01:00,3.29,12347,Iceland
556201,22196,SMALL HEART MEASURING SPOONS,24,2011-06-09 13:01:00,0.85,12347,Iceland
556201,84558A,3D DOG PICTURE PLAYING CARDS,18,2011-06-09 13:01:00,2.95,12347,Iceland
556201,51014C,"FEATHER PEN,COAL BLACK",12,2011-06-09 13:01:00,0.85,12347,Iceland
556201,22727,ALARM CLOCK BAKELIKE RED ,8,2011-06-09 13:01:00,3.75,12347,Iceland
556201,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,2011-06-09 13:01:00,3.75,12347,Iceland
562032,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,24,2011-08-02 08:48:00,0.55,12347,Iceland
562032,23297,SET 40 HEART SHAPE PETIT FOUR CASES,16,2011-08-02 08:48:00,1.65,12347,Iceland
562032,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,2011-08-02 08:48:00,4.25,12347,Iceland
562032,22374,AIRLINE BAG VINTAGE JET SET RED,4,2011-08-02 08:48:00,4.25,12347,Iceland
562032,22376,AIRLINE BAG VINTAGE JET SET WHITE,4,2011-08-02 08:48:00,4.25,12347,Iceland
562032,22371,AIRLINE BAG VINTAGE TOKYO 78,8,2011-08-02 08:48:00,4.25,12347,Iceland
562032,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,4,2011-08-02 08:48:00,4.25,12347,Iceland
562032,21578,WOODLAND DESIGN  COTTON TOTE BAG,6,2011-08-02 08:48:00,2.25,12347,Iceland
562032,20719,WOODLAND CHARLOTTE BAG,10,2011-08-02 08:48:00,0.85,12347,Iceland
562032,22727,ALARM CLOCK BAKELIKE RED ,8,2011-08-02 08:48:00,3.75,12347,Iceland
562032,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,4,2011-08-02 08:48:00,3.29,12347,Iceland
562032,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,2011-08-02 08:48:00,1.45,12347,Iceland
562032,47559B,TEA TIME OVEN GLOVE,10,2011-08-02 08:48:00,1.25,12347,Iceland
562032,84992,72 SWEETHEART FAIRY CAKE CASES,24,2011-08-02 08:48:00,0.55,12347,Iceland
562032,84991,60 TEATIME FAIRY CAKE CASES,24,2011-08-02 08:48:00,0.55,12347,Iceland
562032,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-08-02 08:48:00,0.55,12347,Iceland
562032,22423,REGENCY CAKESTAND 3 TIER,3,2011-08-02 08:48:00,12.75,12347,Iceland
562032,23175,REGENCY MILK JUG PINK ,4,2011-08-02 08:48:00,3.25,12347,Iceland
562032,84558A,3D DOG PICTURE PLAYING CARDS,36,2011-08-02 08:48:00,2.95,12347,Iceland
562032,22992,REVOLVER WOODEN RULER ,12,2011-08-02 08:48:00,1.95,12347,Iceland
562032,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,2011-08-02 08:48:00,1.25,12347,Iceland
562032,23316,RED REFECTORY CLOCK ,12,2011-08-02 08:48:00,8.15,12347,Iceland
573511,23480,MINI LIGHTS WOODLAND MUSHROOMS,12,2011-10-31 12:25:00,3.75,12347,Iceland
573511,21265,PINK GOOSE FEATHER TREE 60CM,12,2011-10-31 12:25:00,1.95,12347,Iceland
573511,21636,MADRAS NOTEBOOK MEDIUM,12,2011-10-31 12:25:00,0.75,12347,Iceland
573511,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,4,2011-10-31 12:25:00,4.25,12347,Iceland
573511,22375,AIRLINE BAG VINTAGE JET SET BROWN,8,2011-10-31 12:25:00,4.25,12347,Iceland
573511,22371,AIRLINE BAG VINTAGE TOKYO 78,12,2011-10-31 12:25:00,3.95,12347,Iceland
573511,22374,AIRLINE BAG VINTAGE JET SET RED,8,2011-10-31 12:25:00,4.25,12347,Iceland
573511,22252,BIRDCAGE DECORATION TEALIGHT HOLDER,12,2011-10-31 12:25:00,1.25,12347,Iceland
573511,22945,CHRISTMAS METAL TAGS ASSORTED ,12,2011-10-31 12:25:00,0.85,12347,Iceland
573511,22423,REGENCY CAKESTAND 3 TIER,6,2011-10-31 12:25:00,12.75,12347,Iceland
573511,23173,REGENCY TEAPOT ROSES ,2,2011-10-31 12:25:00,9.95,12347,Iceland
573511,47580,TEA TIME DES TEA COSY,6,2011-10-31 12:25:00,2.55,12347,Iceland
573511,47567B,TEA TIME KITCHEN APRON,6,2011-10-31 12:25:00,5.95,12347,Iceland
573511,47559B,TEA TIME OVEN GLOVE,10,2011-10-31 12:25:00,1.25,12347,Iceland
573511,22698,PINK REGENCY TEACUP AND SAUCER,12,2011-10-31 12:25:00,2.95,12347,Iceland
573511,22697,GREEN REGENCY TEACUP AND SAUCER,12,2011-10-31 12:25:00,2.95,12347,Iceland
573511,84558A,3D DOG PICTURE PLAYING CARDS,36,2011-10-31 12:25:00,2.95,12347,Iceland
573511,23084,RABBIT NIGHT LIGHT,48,2011-10-31 12:25:00,1.79,12347,Iceland
573511,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2011-10-31 12:25:00,1.65,12347,Iceland
573511,23177,TREASURE ISLAND BOOK BOX,8,2011-10-31 12:25:00,2.25,12347,Iceland
573511,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2011-10-31 12:25:00,1.25,12347,Iceland
