InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537081,22409,MONEY BOX BISCUITS DESIGN,12,2010-12-05 12:00:00,1.25,15332,Lithuania
537081,21915,RED  HARMONICA IN BOX ,36,2010-12-05 12:00:00,1.25,15332,Lithuania
537081,15056BL,EDWARDIAN PARASOL BLACK,12,2010-12-05 12:00:00,5.95,15332,Lithuania
537081,15056N,EDWARDIAN PARASOL NATURAL,12,2010-12-05 12:00:00,5.95,15332,Lithuania
537081,20679,EDWARDIAN PARASOL RED,12,2010-12-05 12:00:00,5.95,15332,Lithuania
537081,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,6,2010-12-05 12:00:00,3.25,15332,Lithuania
537081,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,2010-12-05 12:00:00,3.25,15332,Lithuania
537081,20681,PINK POLKADOT CHILDRENS UMBRELLA,6,2010-12-05 12:00:00,3.25,15332,Lithuania
537081,21429,RED GINGHAM ROSE JEWELLERY BOX,8,2010-12-05 12:00:00,1.65,15332,Lithuania
537081,21914,BLUE HARMONICA IN BOX ,36,2010-12-05 12:00:00,1.25,15332,Lithuania
537081,22273,FELTCRAFT DOLL MOLLY,12,2010-12-05 12:00:00,2.95,15332,Lithuania
537081,22306,SILVER MUG BONE CHINA TREE OF LIFE,36,2010-12-05 12:00:00,1.65,15332,Lithuania
537081,22307,GOLD MUG BONE CHINA TREE OF LIFE,36,2010-12-05 12:00:00,1.65,15332,Lithuania
537081,22300,COFFEE MUG DOG + BALL DESIGN,18,2010-12-05 12:00:00,2.55,15332,Lithuania
537081,22301,COFFEE MUG CAT + BIRD DESIGN,18,2010-12-05 12:00:00,2.55,15332,Lithuania
537081,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,2010-12-05 12:00:00,1.65,15332,Lithuania
537081,22553,PLASTERS IN TIN SKULLS,12,2010-12-05 12:00:00,1.65,15332,Lithuania
537081,22551,PLASTERS IN TIN SPACEBOY,12,2010-12-05 12:00:00,1.65,15332,Lithuania
537081,22568,FELTCRAFT CUSHION OWL,24,2010-12-05 12:00:00,3.39,15332,Lithuania
537081,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,16,2010-12-05 12:00:00,3.75,15332,Lithuania
537081,22569,FELTCRAFT CUSHION BUTTERFLY,16,2010-12-05 12:00:00,3.75,15332,Lithuania
537081,22940,FELTCRAFT CHRISTMAS FAIRY,16,2010-12-05 12:00:00,4.25,15332,Lithuania
537081,22750,FELTCRAFT PRINCESS LOLA DOLL,16,2010-12-05 12:00:00,3.75,15332,Lithuania
537081,22751,FELTCRAFT PRINCESS OLIVIA DOLL,16,2010-12-05 12:00:00,3.75,15332,Lithuania
537081,85114B,IVORY ENCHANTED FOREST PLACEMAT,24,2010-12-05 12:00:00,1.65,15332,Lithuania
537086,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,20,2010-12-05 12:01:00,3.75,15332,Lithuania
537086,22271,FELTCRAFT DOLL ROSIE,48,2010-12-05 12:01:00,2.55,15332,Lithuania
537086,22569,FELTCRAFT CUSHION BUTTERFLY,8,2010-12-05 12:01:00,3.75,15332,Lithuania
537086,22750,FELTCRAFT PRINCESS LOLA DOLL,16,2010-12-05 12:01:00,3.75,15332,Lithuania
537086,22751,FELTCRAFT PRINCESS OLIVIA DOLL,12,2010-12-05 12:01:00,3.75,15332,Lithuania
537086,21429,RED GINGHAM ROSE JEWELLERY BOX,16,2010-12-05 12:01:00,1.65,15332,Lithuania
537086,85206A,CREAM FELT EASTER EGG BASKET,24,2010-12-05 12:01:00,1.65,15332,Lithuania
537086,22021,BLUE FELT EASTER EGG BASKET,24,2010-12-05 12:01:00,1.65,15332,Lithuania
537090,21915,RED  HARMONICA IN BOX ,12,2010-12-05 12:02:00,1.25,15332,Lithuania
537827,22145,CHRISTMAS CRAFT HEART STOCKING ,30,2010-12-08 14:43:00,2.1,15332,Lithuania
