InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536971,21733,RED HANGING HEART T-LIGHT HOLDER,32,2010-12-03 13:40:00,2.55,12779,Poland
536971,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2010-12-03 13:40:00,1.25,12779,Poland
536971,37446,MINI CAKE STAND WITH HANGING CAKES,8,2010-12-03 13:40:00,1.45,12779,Poland
536971,37448,CERAMIC CAKE DESIGN SPOTTED MUG,24,2010-12-03 13:40:00,1.49,12779,Poland
536971,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,2010-12-03 13:40:00,0.85,12779,Poland
536971,22844,VINTAGE CREAM DOG FOOD CONTAINER,4,2010-12-03 13:40:00,8.5,12779,Poland
536971,22961,JAM MAKING SET PRINTED,12,2010-12-03 13:40:00,1.45,12779,Poland
536971,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-03 13:40:00,1.45,12779,Poland
541267,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,6,2011-01-17 10:37:00,2.95,12779,Poland
541267,22624,IVORY KITCHEN SCALES,2,2011-01-17 10:37:00,8.5,12779,Poland
541267,22626,BLACK KITCHEN SCALES,2,2011-01-17 10:37:00,8.5,12779,Poland
541267,22845,VINTAGE CREAM CAT FOOD CONTAINER,2,2011-01-17 10:37:00,6.35,12779,Poland
541267,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-01-17 10:37:00,1.25,12779,Poland
541267,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,2011-01-17 10:37:00,2.95,12779,Poland
541267,22510,GINGHAM BABUSHKA DOORSTOP,8,2011-01-17 10:37:00,1.25,12779,Poland
541267,22195,LARGE HEART MEASURING SPOONS,12,2011-01-17 10:37:00,1.65,12779,Poland
541267,22503,CABIN BAG VINTAGE PAISLEY,3,2011-01-17 10:37:00,12.75,12779,Poland
541267,84917,WHITE HAND TOWEL WITH BUTTERFLY,20,2011-01-17 10:37:00,1.25,12779,Poland
541267,84915,HAND TOWEL PINK FLOWER AND DAISY,10,2011-01-17 10:37:00,1.25,12779,Poland
541267,82613D,METAL SIGN CUPCAKE SINGLE HOOK,20,2011-01-17 10:37:00,0.42,12779,Poland
541267,22782,SET 3 WICKER STORAGE BASKETS ,8,2011-01-17 10:37:00,9.95,12779,Poland
541267,22783,SET 3 WICKER OVAL BASKETS W LIDS,8,2011-01-17 10:37:00,7.95,12779,Poland
541267,20803,SMALL PINK GLASS SUNDAE DISH,36,2011-01-17 10:37:00,0.42,12779,Poland
541267,20801,LARGE PINK GLASS SUNDAE DISH,16,2011-01-17 10:37:00,0.75,12779,Poland
541267,21110,LARGE CAKE TOWEL PINK SPOTS,24,2011-01-17 10:37:00,1.95,12779,Poland
541267,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-01-17 10:37:00,4.95,12779,Poland
541267,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-01-17 10:37:00,3.95,12779,Poland
541267,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2011-01-17 10:37:00,2.95,12779,Poland
541267,22961,JAM MAKING SET PRINTED,36,2011-01-17 10:37:00,1.45,12779,Poland
541267,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-01-17 10:37:00,1.45,12779,Poland
541267,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,12,2011-01-17 10:37:00,1.45,12779,Poland
541267,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,2011-01-17 10:37:00,8.5,12779,Poland
541267,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-01-17 10:37:00,1.25,12779,Poland
543214,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,24,2011-02-04 13:19:00,4.25,12779,Poland
543214,22722,SET OF 6 SPICE TINS PANTRY DESIGN,24,2011-02-04 13:19:00,3.45,12779,Poland
543214,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8,2011-02-04 13:19:00,2.95,12779,Poland
543214,22845,VINTAGE CREAM CAT FOOD CONTAINER,4,2011-02-04 13:19:00,6.35,12779,Poland
543214,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,2011-02-04 13:19:00,8.5,12779,Poland
543214,22690,DOORMAT HOME SWEET HOME BLUE ,2,2011-02-04 13:19:00,7.95,12779,Poland
543214,20726,LUNCH BAG WOODLAND,10,2011-02-04 13:19:00,1.65,12779,Poland
543214,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-02-04 13:19:00,1.25,12779,Poland
543214,22989,SET 2 PANTRY DESIGN TEA TOWELS,12,2011-02-04 13:19:00,3.25,12779,Poland
543411,22480,RED TEA TOWEL CLASSIC DESIGN,12,2011-02-08 11:31:00,1.25,12576,Poland
543411,21868,POTTING SHED TEA MUG,12,2011-02-08 11:31:00,1.25,12576,Poland
543411,21896,POTTING SHED TWINE,6,2011-02-08 11:31:00,2.1,12576,Poland
543411,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-02-08 11:31:00,0.95,12576,Poland
543411,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,2011-02-08 11:31:00,0.85,12576,Poland
543411,82583,HOT BATHS METAL SIGN,12,2011-02-08 11:31:00,2.1,12576,Poland
543411,82578,KITCHEN METAL SIGN,12,2011-02-08 11:31:00,0.55,12576,Poland
543411,22567,20 DOLLY PEGS RETROSPOT,12,2011-02-08 11:31:00,1.25,12576,Poland
543411,84378,SET OF 3 HEART COOKIE CUTTERS,12,2011-02-08 11:31:00,1.25,12576,Poland
543411,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2011-02-08 11:31:00,1.25,12576,Poland
543411,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,2011-02-08 11:31:00,1.65,12576,Poland
543411,22668,PINK BABY BUNTING,5,2011-02-08 11:31:00,2.95,12576,Poland
543411,22188,BLACK HEART CARD HOLDER,4,2011-02-08 11:31:00,3.95,12576,Poland
543411,22342,HOME GARLAND PAINTED ZINC ,12,2011-02-08 11:31:00,1.65,12576,Poland
543411,22920,HERB MARKER BASIL,12,2011-02-08 11:31:00,0.65,12576,Poland
543411,22918,HERB MARKER PARSLEY,12,2011-02-08 11:31:00,0.65,12576,Poland
543411,47599A,PINK PARTY BAGS,6,2011-02-08 11:31:00,2.1,12576,Poland
543411,22482,BLUE TEA TOWEL CLASSIC DESIGN,12,2011-02-08 11:31:00,1.25,12576,Poland
543411,22053,EMPIRE DESIGN ROSETTE,10,2011-02-08 11:31:00,1.25,12576,Poland
546642,22993,SET OF 4 PANTRY JELLY MOULDS,24,2011-03-15 13:13:00,1.25,12779,Poland
546642,22666,RECIPE BOX PANTRY YELLOW DESIGN,24,2011-03-15 13:13:00,2.55,12779,Poland
546642,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2011-03-15 13:13:00,1.25,12779,Poland
546642,22057,CERAMIC PLATE STRAWBERRY DESIGN,24,2011-03-15 13:13:00,1.49,12779,Poland
546642,22059,CERAMIC STRAWBERRY DESIGN MUG,24,2011-03-15 13:13:00,1.49,12779,Poland
546642,22061,LARGE CAKE STAND  HANGING STRAWBERY,2,2011-03-15 13:13:00,9.95,12779,Poland
546642,37450,CERAMIC CAKE BOWL + HANGING CAKES,12,2011-03-15 13:13:00,2.95,12779,Poland
546642,37448,CERAMIC CAKE DESIGN SPOTTED MUG,24,2011-03-15 13:13:00,1.49,12779,Poland
546642,22626,BLACK KITCHEN SCALES,4,2011-03-15 13:13:00,8.5,12779,Poland
C547187,22993,SET OF 4 PANTRY JELLY MOULDS,-2,2011-03-21 12:20:00,1.25,12779,Poland
C547187,37450,CERAMIC CAKE BOWL + HANGING CAKES,-1,2011-03-21 12:20:00,2.95,12779,Poland
C547187,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-6,2011-03-21 12:20:00,1.49,12779,Poland
548909,22978,PANTRY ROLLING PIN,6,2011-04-05 08:43:00,3.75,12779,Poland
548909,22979,PANTRY WASHING UP BRUSH,12,2011-04-05 08:43:00,1.45,12779,Poland
548909,22649,STRAWBERRY FAIRY CAKE TEAPOT,8,2011-04-05 08:43:00,4.95,12779,Poland
548909,22254,FELT TOADSTOOL LARGE,24,2011-04-05 08:43:00,1.25,12779,Poland
548909,22255,FELT TOADSTOOL  SMALL,24,2011-04-05 08:43:00,0.85,12779,Poland
548909,22264,FELT FARM ANIMAL WHITE BUNNY ,24,2011-04-05 08:43:00,0.85,12779,Poland
548909,22321,BIRD DECORATION RED RETROSPOT,24,2011-04-05 08:43:00,0.85,12779,Poland
548909,22322,BIRD DECORATION GREEN POLKADOT,24,2011-04-05 08:43:00,0.85,12779,Poland
548909,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,12,2011-04-05 08:43:00,1.45,12779,Poland
548909,21232,STRAWBERRY CERAMIC TRINKET BOX,72,2011-04-05 08:43:00,1.06,12779,Poland
548909,37446,MINI CAKE STAND WITH HANGING CAKES,16,2011-04-05 08:43:00,1.45,12779,Poland
548909,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,24,2011-04-05 08:43:00,1.49,12779,Poland
548909,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,2011-04-05 08:43:00,2.95,12779,Poland
548909,37448,CERAMIC CAKE DESIGN SPOTTED MUG,48,2011-04-05 08:43:00,1.25,12779,Poland
548909,37449,CERAMIC CAKE STAND + HANGING CAKES,2,2011-04-05 08:43:00,9.95,12779,Poland
548909,47559B,TEA TIME OVEN GLOVE,10,2011-04-05 08:43:00,1.25,12779,Poland
548909,22059,CERAMIC STRAWBERRY DESIGN MUG,24,2011-04-05 08:43:00,1.49,12779,Poland
548909,22055,MINI CAKE STAND  HANGING STRAWBERY,16,2011-04-05 08:43:00,1.65,12779,Poland
548909,22061,LARGE CAKE STAND  HANGING STRAWBERY,4,2011-04-05 08:43:00,9.95,12779,Poland
548909,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,6,2011-04-05 08:43:00,2.95,12779,Poland
548909,22195,LARGE HEART MEASURING SPOONS,24,2011-04-05 08:43:00,1.65,12779,Poland
548909,22844,VINTAGE CREAM DOG FOOD CONTAINER,4,2011-04-05 08:43:00,8.5,12779,Poland
548909,22845,VINTAGE CREAM CAT FOOD CONTAINER,4,2011-04-05 08:43:00,6.35,12779,Poland
548909,22690,DOORMAT HOME SWEET HOME BLUE ,2,2011-04-05 08:43:00,7.95,12779,Poland
548909,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-04-05 08:43:00,1.45,12779,Poland
551988,16016,LARGE CHINESE STYLE SCISSOR,10,2011-05-05 15:08:00,0.85,12576,Poland
551988,16014,SMALL CHINESE STYLE SCISSOR,20,2011-05-05 15:08:00,0.42,12576,Poland
551988,22478,BIRDHOUSE GARDEN MARKER ,10,2011-05-05 15:08:00,1.25,12576,Poland
551988,22684,FRENCH BLUE METAL DOOR SIGN 9,10,2011-05-05 15:08:00,1.25,12576,Poland
