InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C538847,85232B,SET OF 3 BABUSHKA STACKING TINS,-240,2010-12-14 13:27:00,4.95,17404,Sweden
538848,85232B,SET OF 3 BABUSHKA STACKING TINS,240,2010-12-14 13:28:00,4.95,17404,Sweden
539338,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,576,2010-12-17 10:54:00,0.29,17404,Sweden
539338,22951,60 CAKE CASES DOLLY GIRL DESIGN,240,2010-12-17 10:54:00,0.55,17404,Sweden
539338,22417,PACK OF 60 SPACEBOY CAKE CASES,240,2010-12-17 10:54:00,0.55,17404,Sweden
539338,21977,PACK OF 60 PINK PAISLEY CAKE CASES,240,2010-12-17 10:54:00,0.55,17404,Sweden
539338,84992,72 SWEETHEART FAIRY CAKE CASES,240,2010-12-17 10:54:00,0.55,17404,Sweden
539338,21212,PACK OF 72 RETROSPOT CAKE CASES,240,2010-12-17 10:54:00,0.55,17404,Sweden
539338,22949,36 DOILIES DOLLY GIRL,144,2010-12-17 10:54:00,1.45,17404,Sweden
539338,21210,SET OF 72 RETROSPOT PAPER  DOILIES,288,2010-12-17 10:54:00,1.45,17404,Sweden
539338,22536,MAGIC DRAWING SLATE PURDEY,192,2010-12-17 10:54:00,0.42,17404,Sweden
539338,22530,MAGIC DRAWING SLATE DOLLY GIRL ,192,2010-12-17 10:54:00,0.42,17404,Sweden
539338,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,2010-12-17 10:54:00,1.65,17404,Sweden
539338,22489,PACK OF 12 TRADITIONAL CRAYONS,144,2010-12-17 10:54:00,0.42,17404,Sweden
539338,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,12,2010-12-17 10:54:00,1.25,17404,Sweden
539338,22757,LARGE RED BABUSHKA NOTEBOOK ,12,2010-12-17 10:54:00,1.25,17404,Sweden
539338,22756,LARGE YELLOW BABUSHKA NOTEBOOK ,12,2010-12-17 10:54:00,1.25,17404,Sweden
539338,22820,GIFT BAG BIRTHDAY,192,2010-12-17 10:54:00,0.65,17404,Sweden
539338,22348,TEA BAG PLATE RED RETROSPOT,288,2010-12-17 10:54:00,0.85,17404,Sweden
539338,85178,VICTORIAN SEWING KIT,144,2010-12-17 10:54:00,1.25,17404,Sweden
539338,22651,GENTLEMAN SHIRT REPAIR KIT ,144,2010-12-17 10:54:00,0.85,17404,Sweden
539338,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2010-12-17 10:54:00,4.95,17404,Sweden
539338,22721,SET OF 3 CAKE TINS SKETCHBOOK,3,2010-12-17 10:54:00,4.95,17404,Sweden
539338,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2010-12-17 10:54:00,2.95,17404,Sweden
539338,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2010-12-17 10:54:00,2.95,17404,Sweden
539338,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",24,2010-12-17 10:54:00,4.95,17404,Sweden
539338,22915,ASSORTED BOTTLE TOP  MAGNETS ,120,2010-12-17 10:54:00,0.42,17404,Sweden
540040,22264,FELT FARM ANIMAL WHITE BUNNY ,48,2011-01-04 14:20:00,0.19,12483,Sweden
540040,85169C,EAU DE NIL LOVE BIRD CANDLE,24,2011-01-04 14:20:00,0.42,12483,Sweden
540040,85169A,IVORY LOVE BIRD CANDLE,24,2011-01-04 14:20:00,0.42,12483,Sweden
540040,85169B,BLACK LOVE BIRD CANDLE,24,2011-01-04 14:20:00,0.42,12483,Sweden
540040,22271,FELTCRAFT DOLL ROSIE,12,2011-01-04 14:20:00,2.95,12483,Sweden
540040,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12,2011-01-04 14:20:00,3.75,12483,Sweden
540040,21731,RED TOADSTOOL LED NIGHT LIGHT,48,2011-01-04 14:20:00,1.65,12483,Sweden
540040,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,2011-01-04 14:20:00,1.95,12483,Sweden
540040,22378,WALL TIDY RETROSPOT ,20,2011-01-04 14:20:00,0.85,12483,Sweden
540040,22467,GUMBALL COAT RACK,36,2011-01-04 14:20:00,2.1,12483,Sweden
540040,20724,RED RETROSPOT CHARLOTTE BAG,20,2011-01-04 14:20:00,0.85,12483,Sweden
540040,20704,MR ROBOT SOFT TOY,8,2011-01-04 14:20:00,1.95,12483,Sweden
540040,POST,POSTAGE,5,2011-01-04 14:20:00,40,12483,Sweden
C540057,POST,POSTAGE,-1,2011-01-04 14:29:00,40,12483,Sweden
542428,22530,MAGIC DRAWING SLATE DOLLY GIRL ,192,2011-01-28 10:00:00,0.42,17404,Sweden
542428,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,72,2011-01-28 10:00:00,4.95,17404,Sweden
542428,21260,FIRST AID TIN,48,2011-01-28 10:00:00,3.25,17404,Sweden
542428,21906,PHARMACIE FIRST AID TIN,16,2011-01-28 10:00:00,6.75,17404,Sweden
542428,21791,VINTAGE HEADS AND TAILS CARD GAME ,144,2011-01-28 10:00:00,1.25,17404,Sweden
542428,21889,WOODEN BOX OF DOMINOES,144,2011-01-28 10:00:00,1.25,17404,Sweden
542428,22546,MINI JIGSAW PURDEY,240,2011-01-28 10:00:00,0.42,17404,Sweden
542428,22544,MINI JIGSAW SPACEBOY,240,2011-01-28 10:00:00,0.42,17404,Sweden
542428,22539,MINI JIGSAW DOLLY GIRL,240,2011-01-28 10:00:00,0.42,17404,Sweden
542428,21716,BOYS VINTAGE TIN SEASIDE BUCKET,64,2011-01-28 10:00:00,2.55,17404,Sweden
542428,85178,VICTORIAN SEWING KIT,144,2011-01-28 10:00:00,1.25,17404,Sweden
542428,22536,MAGIC DRAWING SLATE PURDEY,192,2011-01-28 10:00:00,0.42,17404,Sweden
542428,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,64,2011-01-28 10:00:00,2.55,17404,Sweden
542428,22721,SET OF 3 CAKE TINS SKETCHBOOK,24,2011-01-28 10:00:00,4.95,17404,Sweden
542428,22489,PACK OF 12 TRADITIONAL CRAYONS,144,2011-01-28 10:00:00,0.42,17404,Sweden
542428,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,72,2011-01-28 10:00:00,1.25,17404,Sweden
542428,22757,LARGE RED BABUSHKA NOTEBOOK ,72,2011-01-28 10:00:00,1.25,17404,Sweden
542428,22756,LARGE YELLOW BABUSHKA NOTEBOOK ,72,2011-01-28 10:00:00,1.25,17404,Sweden
542428,22492,MINI PAINT SET VINTAGE ,576,2011-01-28 10:00:00,0.65,17404,Sweden
542428,22099,CARAVAN SQUARE TISSUE BOX,36,2011-01-28 10:00:00,1.25,17404,Sweden
542428,22838,3 TIER CAKE TIN RED AND CREAM,8,2011-01-28 10:00:00,14.95,17404,Sweden
542911,47590B,PINK HAPPY BIRTHDAY BUNTING,21,2011-02-01 15:41:00,5.45,12676,Sweden
