InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
550644,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,2011-04-19 16:19:00,3.95,12733,USA
550644,22979,PANTRY WASHING UP BRUSH,1,2011-04-19 16:19:00,1.45,12733,USA
550644,84987,SET OF 36 TEATIME PAPER DOILIES,1,2011-04-19 16:19:00,1.45,12733,USA
550644,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,2011-04-19 16:19:00,4.95,12733,USA
550644,22993,SET OF 4 PANTRY JELLY MOULDS,1,2011-04-19 16:19:00,1.25,12733,USA
550644,47580,TEA TIME DES TEA COSY,1,2011-04-19 16:19:00,2.55,12733,USA
550644,22989,SET 2 PANTRY DESIGN TEA TOWELS,1,2011-04-19 16:19:00,3.25,12733,USA
550644,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2011-04-19 16:19:00,3.25,12733,USA
550644,22128,PARTY CONES CANDY ASSORTED,1,2011-04-19 16:19:00,1.25,12733,USA
550644,47590B,PINK HAPPY BIRTHDAY BUNTING,1,2011-04-19 16:19:00,5.45,12733,USA
550644,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,1,2011-04-19 16:19:00,2.1,12733,USA
550644,22088,PAPER BUNTING COLOURED LACE,1,2011-04-19 16:19:00,2.95,12733,USA
550644,22990,COTTON APRON PANTRY DESIGN,1,2011-04-19 16:19:00,4.95,12733,USA
550644,22129,PARTY CONES CANDY TREE DECORATION,1,2011-04-19 16:19:00,0.85,12733,USA
550644,21067,VINTAGE RED TEATIME MUG,1,2011-04-19 16:19:00,1.25,12733,USA
550644,22149,FELTCRAFT 6 FLOWER FRIENDS,1,2011-04-19 16:19:00,2.1,12733,USA
550644,22147,FELTCRAFT BUTTERFLY HEARTS,1,2011-04-19 16:19:00,1.45,12733,USA
550644,22301,COFFEE MUG CAT + BIRD DESIGN,1,2011-04-19 16:19:00,2.55,12733,USA
550644,22970,LONDON BUS COFFEE MUG,1,2011-04-19 16:19:00,2.55,12733,USA
550644,22423,REGENCY CAKESTAND 3 TIER,1,2011-04-19 16:19:00,12.75,12733,USA
550644,37501,TEA TIME TEA SET IN GIFT BOX,1,2011-04-19 16:19:00,6.95,12733,USA
550644,37500,TEA TIME TEAPOT IN GIFT BOX,1,2011-04-19 16:19:00,4.95,12733,USA
570467,22551,PLASTERS IN TIN SPACEBOY,1,2011-10-10 16:06:00,1.65,12607,USA
570467,21915,RED  HARMONICA IN BOX ,1,2011-10-10 16:06:00,1.25,12607,USA
570467,22619,SET OF 6 SOLDIER SKITTLES,1,2011-10-10 16:06:00,3.75,12607,USA
570467,22138,BAKING SET 9 PIECE RETROSPOT ,1,2011-10-10 16:06:00,4.95,12607,USA
570467,21524,DOORMAT SPOTTY HOME SWEET HOME,1,2011-10-10 16:06:00,8.25,12607,USA
570467,21668,RED STRIPE CERAMIC DRAWER KNOB,1,2011-10-10 16:06:00,1.45,12607,USA
570467,21671,RED SPOT CERAMIC DRAWER KNOB,1,2011-10-10 16:06:00,1.45,12607,USA
570467,21669,BLUE STRIPE CERAMIC DRAWER KNOB,1,2011-10-10 16:06:00,1.45,12607,USA
570467,22090,PAPER BUNTING RETROSPOT,1,2011-10-10 16:06:00,2.95,12607,USA
570467,22668,PINK BABY BUNTING,1,2011-10-10 16:06:00,2.95,12607,USA
570467,47590A,BLUE HAPPY BIRTHDAY BUNTING,1,2011-10-10 16:06:00,5.45,12607,USA
570467,47590B,PINK HAPPY BIRTHDAY BUNTING,1,2011-10-10 16:06:00,5.45,12607,USA
570467,22974,CHILDRENS DOLLY GIRL MUG,1,2011-10-10 16:06:00,1.65,12607,USA
570467,22972,CHILDREN'S SPACEBOY MUG,1,2011-10-10 16:06:00,1.65,12607,USA
570467,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,2011-10-10 16:06:00,2.95,12607,USA
570467,21231,SWEETHEART CERAMIC TRINKET BOX,1,2011-10-10 16:06:00,1.25,12607,USA
570467,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2011-10-10 16:06:00,1.25,12607,USA
570467,22949,36 DOILIES DOLLY GIRL,1,2011-10-10 16:06:00,1.45,12607,USA
570467,21974,SET OF 36 PAISLEY FLOWER DOILIES,1,2011-10-10 16:06:00,1.45,12607,USA
570467,84987,SET OF 36 TEATIME PAPER DOILIES,1,2011-10-10 16:06:00,1.45,12607,USA
570467,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,1,2011-10-10 16:06:00,3.75,12607,USA
570467,37448,CERAMIC CAKE DESIGN SPOTTED MUG,1,2011-10-10 16:06:00,1.49,12607,USA
570467,22649,STRAWBERRY FAIRY CAKE TEAPOT,1,2011-10-10 16:06:00,4.95,12607,USA
570467,22951,60 CAKE CASES DOLLY GIRL DESIGN,1,2011-10-10 16:06:00,0.55,12607,USA
570467,21976,PACK OF 60 MUSHROOM CAKE CASES,1,2011-10-10 16:06:00,0.55,12607,USA
570467,22417,PACK OF 60 SPACEBOY CAKE CASES,1,2011-10-10 16:06:00,0.55,12607,USA
570467,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2011-10-10 16:06:00,0.55,12607,USA
570467,22938,CUPCAKE LACE PAPER SET 6,1,2011-10-10 16:06:00,1.95,12607,USA
570467,84991,60 TEATIME FAIRY CAKE CASES,1,2011-10-10 16:06:00,0.55,12607,USA
570467,22199,FRYING PAN RED RETROSPOT,1,2011-10-10 16:06:00,4.25,12607,USA
570467,22848,BREAD BIN DINER STYLE PINK,1,2011-10-10 16:06:00,16.95,12607,USA
570467,22204,MILK PAN BLUE POLKADOT,1,2011-10-10 16:06:00,3.75,12607,USA
570467,22360,GLASS JAR ENGLISH CONFECTIONERY,1,2011-10-10 16:06:00,2.95,12607,USA
570467,47559B,TEA TIME OVEN GLOVE,1,2011-10-10 16:06:00,1.25,12607,USA
570467,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,1,2011-10-10 16:06:00,1.25,12607,USA
570467,22922,FRIDGE MAGNETS US DINER ASSORTED,1,2011-10-10 16:06:00,0.85,12607,USA
570467,23156,SET OF 5 MINI GROCERY MAGNETS,1,2011-10-10 16:06:00,2.08,12607,USA
570467,23159,SET OF 5 PANCAKE DAY MAGNETS,1,2011-10-10 16:06:00,2.08,12607,USA
570467,22027,TEA PARTY BIRTHDAY CARD,1,2011-10-10 16:06:00,0.42,12607,USA
570467,22029,SPACEBOY BIRTHDAY CARD,1,2011-10-10 16:06:00,0.42,12607,USA
570467,22983,CARD BILLBOARD FONT,1,2011-10-10 16:06:00,0.42,12607,USA
570467,22712,CARD DOLLY GIRL ,1,2011-10-10 16:06:00,0.42,12607,USA
570467,16161P,WRAP ENGLISH ROSE ,1,2011-10-10 16:06:00,0.42,12607,USA
570467,21498,RED RETROSPOT WRAP ,1,2011-10-10 16:06:00,0.42,12607,USA
570467,21499,BLUE POLKADOT WRAP,1,2011-10-10 16:06:00,0.42,12607,USA
570467,22046,TEA PARTY  WRAPPING PAPER ,1,2011-10-10 16:06:00,0.42,12607,USA
570467,22048,BIRTHDAY BANQUET GIFT WRAP,1,2011-10-10 16:06:00,0.42,12607,USA
570467,22050,PINK PAISLEY ROSE GIFT WRAP,1,2011-10-10 16:06:00,0.42,12607,USA
570467,22708,WRAP DOLLY GIRL,1,2011-10-10 16:06:00,0.42,12607,USA
570467,22706,WRAP COWBOYS  ,1,2011-10-10 16:06:00,0.42,12607,USA
570467,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,2011-10-10 16:06:00,1.25,12607,USA
570467,21123,SET/10 IVORY POLKADOT PARTY CANDLES,1,2011-10-10 16:06:00,1.25,12607,USA
570467,21891,TRADITIONAL WOODEN SKIPPING ROPE,1,2011-10-10 16:06:00,1.45,12607,USA
570467,23166,MEDIUM CERAMIC TOP STORAGE JAR,1,2011-10-10 16:06:00,1.25,12607,USA
570467,23165,LARGE CERAMIC TOP STORAGE JAR,1,2011-10-10 16:06:00,1.65,12607,USA
570467,23167,SMALL CERAMIC TOP STORAGE JAR ,1,2011-10-10 16:06:00,0.83,12607,USA
570467,48185,DOORMAT FAIRY CAKE,1,2011-10-10 16:06:00,8.25,12607,USA
570467,23372,SET 36 COLOUR PENCILS DOLLY GIRL,1,2011-10-10 16:06:00,1.25,12607,USA
570467,23367,SET 12 COLOUR PENCILS SPACEBOY ,1,2011-10-10 16:06:00,0.65,12607,USA
570467,23513,EMBROIDERED RIBBON REEL SUSIE ,1,2011-10-10 16:06:00,2.08,12607,USA
570467,23518,EMBROIDERED RIBBON REEL RACHEL ,1,2011-10-10 16:06:00,2.89,12607,USA
570467,23514,EMBROIDERED RIBBON REEL SALLY ,1,2011-10-10 16:06:00,2.08,12607,USA
570467,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1,2011-10-10 16:06:00,4.95,12607,USA
570467,23078,ICE CREAM PEN LIP GLOSS ,1,2011-10-10 16:06:00,1.25,12607,USA
570467,23077,DOUGHNUT LIP GLOSS ,1,2011-10-10 16:06:00,1.25,12607,USA
570467,21058,PARTY INVITES WOODLAND,1,2011-10-10 16:06:00,0.85,12607,USA
570467,21059,PARTY INVITES DINOSAURS,1,2011-10-10 16:06:00,0.85,12607,USA
570467,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,2011-10-10 16:06:00,4.95,12607,USA
570467,22492,MINI PAINT SET VINTAGE ,1,2011-10-10 16:06:00,0.65,12607,USA
570467,22738,RIBBON REEL SNOWY VILLAGE,1,2011-10-10 16:06:00,1.65,12607,USA
570467,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,1,2011-10-10 16:06:00,2.89,12607,USA
570467,22737,RIBBON REEL CHRISTMAS PRESENT ,1,2011-10-10 16:06:00,1.65,12607,USA
570467,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,1,2011-10-10 16:06:00,0.79,12607,USA
570467,22736,RIBBON REEL MAKING SNOWMEN ,1,2011-10-10 16:06:00,1.65,12607,USA
570467,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,1,2011-10-10 16:06:00,1.65,12607,USA
570467,22959,WRAP CHRISTMAS VILLAGE,1,2011-10-10 16:06:00,0.42,12607,USA
570467,22818,CARD CHRISTMAS VILLAGE,1,2011-10-10 16:06:00,0.42,12607,USA
570467,23014,GLASS APOTHECARY BOTTLE ELIXIR,1,2011-10-10 16:06:00,3.95,12607,USA
570467,23229,VINTAGE DONKEY TAIL GAME ,1,2011-10-10 16:06:00,3.75,12607,USA
570467,23289,DOLLY GIRL CHILDRENS BOWL,1,2011-10-10 16:06:00,1.25,12607,USA
570467,23291,DOLLY GIRL CHILDRENS CUP,1,2011-10-10 16:06:00,1.25,12607,USA
570467,23290,SPACEBOY CHILDRENS BOWL,1,2011-10-10 16:06:00,1.25,12607,USA
570467,23292,SPACEBOY CHILDRENS CUP,1,2011-10-10 16:06:00,1.25,12607,USA
570467,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1,2011-10-10 16:06:00,1.45,12607,USA
570467,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,1,2011-10-10 16:06:00,0.83,12607,USA
570467,23349,ROLL WRAP VINTAGE CHRISTMAS,1,2011-10-10 16:06:00,1.25,12607,USA
570467,23351,ROLL WRAP 50'S CHRISTMAS,1,2011-10-10 16:06:00,1.25,12607,USA
570467,23354,6 GIFT TAGS 50'S CHRISTMAS ,1,2011-10-10 16:06:00,0.83,12607,USA
570467,23311,VINTAGE CHRISTMAS STOCKING ,1,2011-10-10 16:06:00,2.55,12607,USA
570467,23309,SET OF 60 I LOVE LONDON CAKE CASES ,1,2011-10-10 16:06:00,0.55,12607,USA
570467,23293,SET OF 12 FAIRY CAKE BAKING CASES,1,2011-10-10 16:06:00,0.83,12607,USA
570467,23255,CHILDRENS CUTLERY CIRCUS PARADE,1,2011-10-10 16:06:00,4.15,12607,USA
570467,23256,CHILDRENS CUTLERY SPACEBOY ,1,2011-10-10 16:06:00,4.15,12607,USA
570467,22989,SET 2 PANTRY DESIGN TEA TOWELS,1,2011-10-10 16:06:00,3.25,12607,USA
570467,23254,CHILDRENS CUTLERY DOLLY GIRL ,1,2011-10-10 16:06:00,4.15,12607,USA
570467,20750,RED RETROSPOT MINI CASES,1,2011-10-10 16:06:00,7.95,12607,USA
570467,22449,SILK PURSE BABUSHKA PINK,1,2011-10-10 16:06:00,3.35,12607,USA
570467,21577,SAVE THE PLANET COTTON TOTE BAG,1,2011-10-10 16:06:00,2.25,12607,USA
570467,37495,FAIRY CAKE BIRTHDAY CANDLE SET,1,2011-10-10 16:06:00,3.75,12607,USA
570467,21121,SET/10 RED POLKADOT PARTY CANDLES,1,2011-10-10 16:06:00,1.25,12607,USA
570467,21124,SET/10 BLUE POLKADOT PARTY CANDLES,1,2011-10-10 16:06:00,1.25,12607,USA
C570867,23290,SPACEBOY CHILDRENS BOWL,1,2011-10-12 16:17:00,1.25,12607,USA
C570867,23289,DOLLY GIRL CHILDRENS BOWL,1,2011-10-12 16:17:00,1.25,12607,USA
C570867,23256,CHILDRENS CUTLERY SPACEBOY ,1,2011-10-12 16:17:00,4.15,12607,USA
C570867,23255,CHILDRENS CUTLERY CIRCUS PARADE,1,2011-10-12 16:17:00,4.15,12607,USA
C570867,23254,CHILDRENS CUTLERY DOLLY GIRL ,1,2011-10-12 16:17:00,4.15,12607,USA
C570867,23229,VINTAGE DONKEY TAIL GAME ,1,2011-10-12 16:17:00,3.75,12607,USA
C570867,23167,SMALL CERAMIC TOP STORAGE JAR ,1,2011-10-12 16:17:00,0.83,12607,USA
C570867,23166,MEDIUM CERAMIC TOP STORAGE JAR,1,2011-10-12 16:17:00,1.25,12607,USA
C570867,23165,LARGE CERAMIC TOP STORAGE JAR,1,2011-10-12 16:17:00,1.65,12607,USA
C570867,23159,SET OF 5 PANCAKE DAY MAGNETS,1,2011-10-12 16:17:00,2.08,12607,USA
C570867,23156,SET OF 5 MINI GROCERY MAGNETS,1,2011-10-12 16:17:00,2.08,12607,USA
C570867,23078,ICE CREAM PEN LIP GLOSS ,1,2011-10-12 16:17:00,1.25,12607,USA
C570867,23077,DOUGHNUT LIP GLOSS ,1,2011-10-12 16:17:00,1.25,12607,USA
