,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541172,549687,20685,DOORMAT RED RETROSPOT,2,2011-04-11 13:29:00,7.95,12363,Unspecified
541173,549687,22691,DOORMAT WELCOME SUNRISE,2,2011-04-11 13:29:00,7.95,12363,Unspecified
541174,549687,48116,DOORMAT MULTICOLOUR STRIPE,2,2011-04-11 13:29:00,7.95,12363,Unspecified
541175,549687,21213,PACK OF 72 SKULL CAKE CASES,24,2011-04-11 13:29:00,0.55,12363,Unspecified
541176,549687,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2011-04-11 13:29:00,0.55,12363,Unspecified
541177,549687,21976,PACK OF 60 MUSHROOM CAKE CASES,24,2011-04-11 13:29:00,0.55,12363,Unspecified
541178,549687,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-04-11 13:29:00,0.55,12363,Unspecified
541179,549687,84992,72 SWEETHEART FAIRY CAKE CASES,24,2011-04-11 13:29:00,0.55,12363,Unspecified
541180,549687,84991,60 TEATIME FAIRY CAKE CASES,24,2011-04-11 13:29:00,0.55,12363,Unspecified
541181,549687,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,2011-04-11 13:29:00,1.45,12363,Unspecified
541182,549687,21973,SET OF 36 MUSHROOM PAPER DOILIES,12,2011-04-11 13:29:00,1.45,12363,Unspecified
541183,549687,21211,SET OF 72 SKULL PAPER  DOILIES,12,2011-04-11 13:29:00,1.45,12363,Unspecified
541184,549687,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,2011-04-11 13:29:00,1.25,12363,Unspecified
541185,549687,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,2011-04-11 13:29:00,1.25,12363,Unspecified
541186,549687,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,2011-04-11 13:29:00,1.25,12363,Unspecified
541187,549687,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2011-04-11 13:29:00,1.25,12363,Unspecified
541188,552695,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,24,2011-05-10 15:31:00,1.25,16320,Unspecified
541189,552695,23078,ICE CREAM PEN LIP GLOSS ,24,2011-05-10 15:31:00,1.25,16320,Unspecified
541190,552695,22619,SET OF 6 SOLDIER SKITTLES,4,2011-05-10 15:31:00,3.75,16320,Unspecified
541191,552695,21888,BINGO SET,8,2011-05-10 15:31:00,3.75,16320,Unspecified
541192,552695,21890,S/6 WOODEN SKITTLES IN COTTON BAG,6,2011-05-10 15:31:00,3.25,16320,Unspecified
541193,552695,22620,4 TRADITIONAL SPINNING TOPS,12,2011-05-10 15:31:00,1.45,16320,Unspecified
541194,552695,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2011-05-10 15:31:00,1.45,16320,Unspecified
541195,552695,21705,BAG 500g SWIRLY MARBLES,12,2011-05-10 15:31:00,1.65,16320,Unspecified
541196,552695,21704,BAG 250g SWIRLY MARBLES,12,2011-05-10 15:31:00,0.85,16320,Unspecified
541197,552695,21703,BAG 125g SWIRLY MARBLES,12,2011-05-10 15:31:00,0.42,16320,Unspecified
541198,552695,22621,TRADITIONAL KNITTING NANCY,12,2011-05-10 15:31:00,1.65,16320,Unspecified
541199,552695,22150,3 STRIPEY MICE FELTCRAFT,6,2011-05-10 15:31:00,1.95,16320,Unspecified
541200,552695,23127,FELTCRAFT GIRL NICOLE KIT,4,2011-05-10 15:31:00,4.95,16320,Unspecified
541201,552695,23126,FELTCRAFT GIRL AMELIE KIT,4,2011-05-10 15:31:00,4.95,16320,Unspecified
541202,552695,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2011-05-10 15:31:00,1.25,16320,Unspecified
541203,552695,22149,FELTCRAFT 6 FLOWER FRIENDS,12,2011-05-10 15:31:00,2.1,16320,Unspecified
541204,552695,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-05-10 15:31:00,8.5,16320,Unspecified
541205,552695,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,12,2011-05-10 15:31:00,1.25,16320,Unspecified
541206,552695,22754,SMALL RED BABUSHKA NOTEBOOK ,12,2011-05-10 15:31:00,0.85,16320,Unspecified
541207,552695,22584,PACK OF 6 PANNETONE GIFT BOXES,12,2011-05-10 15:31:00,2.55,16320,Unspecified
541208,552695,22585,PACK OF 6 BIRDY GIFT TAGS,12,2011-05-10 15:31:00,1.25,16320,Unspecified
541209,552695,22815,CARD PSYCHEDELIC APPLES,12,2011-05-10 15:31:00,0.42,16320,Unspecified
541210,552695,16161U,WRAP SUKI AND FRIENDS,25,2011-05-10 15:31:00,0.42,16320,Unspecified
541211,552695,22707,WRAP MONSTER FUN ,25,2011-05-10 15:31:00,0.42,16320,Unspecified
541212,552695,22711,WRAP CIRCUS PARADE,25,2011-05-10 15:31:00,0.42,16320,Unspecified
541213,552695,22985,WRAP BILLBOARD FONTS DESIGN,25,2011-05-10 15:31:00,0.42,16320,Unspecified
541214,552695,22048,BIRTHDAY BANQUET GIFT WRAP,25,2011-05-10 15:31:00,0.42,16320,Unspecified
541215,552695,22986,GINGHAM ROSE WRAP,25,2011-05-10 15:31:00,0.42,16320,Unspecified
541216,552695,23233,WRAP POPPIES  DESIGN,25,2011-05-10 15:31:00,0.42,16320,Unspecified
541217,552695,23232,WRAP VINTAGE PETALS  DESIGN,25,2011-05-10 15:31:00,0.42,16320,Unspecified
541218,552695,22653,BUTTON BOX ,10,2011-05-10 15:31:00,1.95,16320,Unspecified
541219,552695,22652,TRAVEL SEWING KIT,10,2011-05-10 15:31:00,1.65,16320,Unspecified
